             ObjName  n       RA             DEC
             Hilt-31  1       7.04645833     64.13105556 
              TPHE-A  1       7.53991667    -46.52475000 
              TPHE-B  1       7.56791667    -46.46633333 
              TPHE-C  1       7.57075000    -46.53933333 
              TPHE-D  1       7.57637500    -46.52225000 
              TPHE-E  1       7.58220833    -46.40997222 
              TPHE-F  1       7.70741667    -46.55672222 
              TPHE-G  1       7.76783333    -46.38100000 
          PG0029-024  1       7.95833333      2.64055556 
            G158-100  1       8.47750000    -12.13302778 
          PG0039-049  1      10.52083333      5.16222222 
            BD+71-31  1      10.93475000     72.17863889 
            SA92-309  1      13.30833333      0.76722222 
            SA92-235  1      13.31666667      0.60500000 
            SA92-322  1      13.44583333      0.79250000 
            SA92-245  1      13.56716667      0.66527778 
            SA92-248  1      13.62816667      0.67147222 
            SA92-249  1      13.63991667      0.68488889 
            SA92-250  1      13.65470833      0.64944444 
            SA92-330  1      13.68075000      0.72397222 
            SA92-252  1      13.69687500      0.65694444 
            SA92-253  1      13.71404167      0.67227778 
            SA92-335  1      13.74300000      0.73361111 
            SA92-339  1      13.76358333      0.73647222 
            SA92-342  1      13.79125000      0.72025000 
            SA92-188  1      13.79166667      0.38666667 
            SA92-409  1      13.80833333      0.93527778 
            SA92-410  1      13.81250000      1.03027778 
            SA92-412  1      13.81666667      1.03138889 
            SA92-259  1      13.84166667      0.67500000 
            SA92-345  1      13.85000000      0.85194444 
            SA92-347  1      13.85854167      0.84697222 
            SA92-260  1      13.87083333      0.61861111 
            SA92-348  1      13.87500000      0.74277778 
            SA92-417  1      13.88408333      0.88547222 
            SA92-263  1      13.91420833      0.60555556 
            SA92-497  1      13.97500000      1.19500000 
            SA92-498  1      13.98750000      1.17777778 
            SA92-500  1      13.99166667      1.17333333 
            SA92-425  1      13.99250000      0.88302778 
            SA92-501  1      14.00000000      1.18111111 
            SA92-426  1      13.99837500      0.88186111 
            SA92-355  1      14.02370833      0.84641667 
            SA92-427  1      14.02770833      1.00583333 
            SA92-502  1      14.03387500      1.07363889 
            SA92-430  1      14.06337500      0.88850000 
            SA92-276  1      14.11250000      0.69805556 
            SA92-282  1      14.19525000      0.64191667 
            SA92-508  1      14.21250000      1.15972222 
            SA92-507  1      14.21250000      1.09944444 
            SA92-364  1      14.22083333      0.73388889 
            SA92-433  1      14.22500000      1.01194444 
            SA92-288  1      14.32083333      0.61352778 
                F-11  1      16.09166667      4.22694444 
                F-16  1      28.53333333     -6.71500000 
            SA93-407  1      28.65416667      0.89694444 
            SA93-317  1      28.65720833      0.71680556 
            SA93-333  1      28.77175000      0.76180556 
            SA93-424  1      28.85979167      0.94513889 
            Hilt-190  1      29.60029167     61.89541667 
               G3-33  1      30.03750000     13.06777778 
            LHS-0014  1      33.08745833      3.57566667 
            Hilt-233  1      33.12487500     59.90113889 
            PG0220-B  1      35.89166667     13.46861111 
           PG0220-NN  1      35.90833333     13.46055556 
            PG0220-A  1      35.91250000     13.45916667 
                F-22  1      37.56925000      5.26405556 
            PG0231-E  1      38.37033333      5.33016667 
            PG0231-D  1      38.39166667      5.32536111 
            PG0231-A  1      38.41700000      5.29475000 
            PG0231-C  1      38.45079167      5.34075000 
           PG0231-NN  1      38.42237500      5.31219444 
            PG0231-B  1      38.43975000      5.29269444 
                F-24  1      38.78333333      3.73250000 
            SA94-171  1      43.40833333      0.28861111 
            SA94-296  1      43.83333333      0.47055556 
            SA94-394  1      44.05833333      0.58611111 
            SA94-401  1      44.12916667      0.66805556 
            SA94-242  1      44.33850000      0.31080556 
            SA94-251  1      44.44575000      0.26741667 
            SA94-702  1      44.55570833      1.18175000 
            Ross-374  1      51.74900000     23.77663889 
             Ross-34  1      52.22141667     37.38241667 
             GD50-NN  1      57.20833333     -0.97583333 
             SA95-15  1      58.16800000     -0.08958333 
            SA95-301  1      58.17154167      0.52258333 
             SA95-16  1      58.16925000     -0.08480556 
            SA95-302  1      58.17570833      0.52158333 
             SA95-96  1      58.22575000      0.00525000 
             SA95-97  1      58.23958333     -0.00533333 
             SA95-98  1      58.25095833      0.04700000 
            SA95-100  1      58.25325000      0.00441667 
            SA95-101  1      58.26725000      0.04727778 
            SA95-102  1      58.28158333      0.01972222 
            SA95-252  1      58.29420833      0.45627778 
            SA95-190  1      58.30516667      0.27300000 
            SA95-193  1      58.33579167      0.27630556 
            SA95-105  1      58.33883333     -0.00513889 
            SA95-107  1      58.35683333      0.03891667 
            SA95-106  1      58.35491667      0.02302778 
            SA95-112  1      58.41712500     -0.01977778 
             SA95-41  1      58.42166667     -0.04225000 
            SA95-317  1      58.43404167      0.49727778 
             SA95-42  1      58.43195833     -0.07594444 
            SA95-263  1      58.44587500      0.44469444 
            SA95-115  1      58.44920833     -0.01311111 
             SA95-43  1      58.45250000     -0.05041667 
