Field        Stars               RAh        DECd      
CSF01        SA92-282-364        00:56:47   +00:38:34 
CSF02        SA93-317-333        01:54:48   +00:43:11 
CSF03        F22                 02:30:17   +05:15:51 
CSF04        SA94-242-251        02:57:33   +00:17:38 
CSF06        SA95-190-193        03:53:08   +00:16:27 
CSF08        SA95-132-218        03:54:51   +00:07:40 
CSF09        SA95-149-236        03:55:54   +00:07:51 
CSF10        SA96-36             04:51:42   -00:10:09 
CSF11        SA96-83             04:52:59   -00:14:22 
CSF12        SA98-185-193        06:52:03   -00:27:20 
CSF13        RU149               07:24:15   -00:32:47 
CSF14        RU152               07:29:58   -02:06:38 
CSF15        SA100-241           08:52:34   -00:39:48 
CSF16        SA100-280-394       08:53:45   -00:34:30 
CSF18        G162-66             10:33:42   -11:41:38 
CSF19        PG1047-A            10:50:05   -00:01:11 
CSF20        G163-50-51          11:08:04   -05:11:33 
CSF21        2-2711              13:42:19   +01:30:18 
CSF22        121968-NN           13:58:51   -02:54:52 
CSF23        SA108-551           16:37:47   -00:33:05 
CSF24        SA109-71-381        17:44:12   -00:24:46 
CSF25        SA109-231-537       17:45:25   -00:23:47 
CSF26        SA110-499-503       18:43:12   +00:29:21 
CSF27        SA112-223-250       20:42:17   +00:07:38 
CSF28        SA112-805-822       20:42:46   +00:16:08 
CSF29        G93-48              21:52:25   +02:23:21 
CSF30        SA114-654-656-750   22:41:30   +01:11:11 
CSF31        GD-246              23:12:21   +10:47:04 
PS15         SDSSJ120650         12:06:50   +02:01:42 
PS14         Feige67             12:41:52   +17:31:20 
PS13         SDSSJ111059         11:10:59   -17:09:54 
PS12         SDSSJ102430         10:24:31   -00:32:07 
PS11         SDSSJ081508         08:15:09   +07:31:46 
PS10         WD0554-165          05:57:01   -16:35:12 
PS08         SDSSJ041053         04:10:54   -06:30:28 
PS07         SDSSJ022817         02:28:17   -08:27:16 
PS06         SDSSJ010322         01:03:22   -00:20:48 
PS05         gd71                05:52:28   +15:53:16 
PS04         c26202              03:32:33   -27:51:48 
PS03         gd153               12:57:02   +22:01:52 
PS02         lds749b             21:32:16   +00:15:15 
PS01         sf1615              16:18:14   +00:00:09 
PS16         SDSSJ130234         13:02:34   +10:12:39 
PS17         SDSSJ131445         13:14:45   -03:14:16 
PS18         SDSSJ151421         15:14:21   +00:47:53 
PS19         SDSSJ163800         16:38:00   +00:47:18 
PS20         SDSSJ203722         20:37:22   -05:13:03 
PS21         SDSSJ210150         21:01:51   -05:45:51 
PS22         Feige110            23:19:58   -05:09:56 
PS23         SDSSJ232941         23:29:41   +00:11:08 
